freq,att_value,Rate,air_power,sample_power,Transmittance,air_thrmcp,sample_thrmcp
11.5000000,3.0000000,0.7587445,0.0045415,0.0018925,0.4167149,17.3601967,17.3276323
11.6000000,3.5000000,0.3027173,0.0043909,0.0017366,0.3955056,17.2787838,17.2706421
11.7000000,4.5000000,0.0682657,0.0048145,0.0018803,0.3905588,17.2516448,17.2489308
11.8000000,6.0000000,0.0708785,0.0046487,0.0020951,0.4506863,17.2570726,17.2489308
11.9000000,4.0000000,0.3280206,0.0045270,0.0023191,0.5122784,17.2055069,17.2245051
12.0000000,8.0000000,0.0482223,0.0034137,0.0019560,0.5729839,17.2842115,17.3276323
12.1000000,6.5000000,0.0691388,0.0047513,0.0034962,0.7358438,17.2733560,17.2299331
12.2000000,5.5000000,0.4252189,0.0038959,0.0033505,0.8600253,17.1647954,17.1512246
12.3000000,8.0000000,0.5602846,0.0041320,0.0038919,0.9418929,17.0833678,17.0969395
12.4000000,5.5000000,0.0345455,0.0047678,0.0046704,0.9795806,17.0616528,17.0670816
12.5000000,6.5000000,0.3063590,0.0048296,0.0042021,0.8700627,17.0209359,16.9965050
12.6000000,6.0000000,0.7903238,0.0050148,0.0038334,0.7644127,17.0670816,17.0616528
12.7000000,7.0000000,0.2762689,0.0047783,0.0031127,0.6514317,17.0589384,17.0589384
12.8000000,4.5000000,0.3697227,0.0044593,0.0023842,0.5346659,17.0507951,17.0453662
12.9000000,7.5000000,0.3856487,0.0038554,0.0017369,0.4505204,17.0752247,17.0779391
13.0000000,8.0000000,0.0000000,0.0040689,0.0017248,0.4238946,17.1077968,17.0996538
13.1000000,5.0000000,0.0000000,0.0039403,0.0016182,0.4106845,17.1267966,17.1186539
13.2000000,8.0000000,0.7696265,0.0040981,0.0014801,0.3611557,17.1023682,17.1186539
13.3000000,5.0000000,0.0000000,0.0043497,0.0015524,0.3568998,17.1159396,17.1240824
13.4000000,4.5000000,0.5202169,0.0038422,0.0014630,0.3807567,17.1539388,17.1512246
13.5000000,5.0000000,0.2704029,0.0042803,0.0018925,0.4421392,17.1349393,17.1403678
13.6000000,6.0000000,0.0528896,0.0030874,0.0014564,0.4717162,17.1376536,17.1349393
13.7000000,4.0000000,0.7656605,0.0045856,0.0026237,0.5721561,17.1132253,17.1132253
13.8000000,4.5000000,0.6270182,0.0047112,0.0033226,0.7052499,17.0616528,17.0399373
13.9000000,5.5000000,0.1997020,0.0041195,0.0034456,0.8364072,17.0697960,17.0507951
14.0000000,2.5000000,0.4849778,0.0047790,0.0044339,0.9278045,17.0100778,17.0019342
14.1000000,4.0000000,0.6466270,0.0038350,0.0037952,0.9896226,17.0399373,17.0535095
14.2000000,5.0000000,0.9642770,0.0046977,0.0045125,0.9605825,16.9883613,16.9693590
14.3000000,4.0000000,0.4103815,0.0028414,0.0023546,0.8286839,16.9937905,16.9910759
14.4000000,4.0000000,0.3422123,0.0038515,0.0027283,0.7083689,17.0942252,17.1403678
14.5000000,4.0000000,0.4678003,0.0049283,0.0029552,0.5996396,17.1485104,17.1485104
14.6000000,3.5000000,0.2763643,0.0047836,0.0022142,0.4628713,17.1783661,17.1702237
14.7000000,1.5000000,0.6784882,0.0048901,0.0021129,0.4320689,17.1647954,17.1783661
14.8000000,4.0000000,0.4804362,0.0040962,0.0017133,0.4182592,17.0670816,17.1213681
14.9000000,2.0000000,0.1283845,0.0038889,0.0015827,0.4069689,17.2625005,17.3140635
15.0000000,1.5000000,0.9252815,0.0041228,0.0015791,0.3830076,17.4388901,17.4768780
15.1000000,5.5000000,0.4244969,0.0038732,0.0015070,0.3890965,17.5799813,17.6125382
15.2000000,4.0000000,0.0855897,0.0038449,0.0015708,0.4085543,17.6667976,17.6830749
15.3000000,6.0000000,0.6106394,0.0048487,0.0021359,0.4405101,17.7346180,17.7563196
15.4000000,4.5000000,0.2938227,0.0045033,0.0022191,0.4927695,17.7861587,17.8024342
15.5000000,1.0000000,0.0000000,0.0046832,0.0027187,0.5805183,17.8349845,17.8539717
15.6000000,2.5000000,0.4178173,0.0043422,0.0031144,0.7172398,17.8810957,17.8919451
15.7000000,3.5000000,0.7189274,0.0041356,0.0036156,0.8742644,17.9136436,17.9272050
15.8000000,6.0000000,0.1576212,0.0041652,0.0040192,0.9649400,17.9461906,17.9489028
15.9000000,1.5000000,0.3142517,0.0042037,0.0041320,0.9829434,17.9624637,17.9624637
16.0000000,5.5000000,0.5816480,0.0047869,0.0044435,0.9282671,17.9868729,17.9922971
16.1000000,2.5000000,0.2087153,0.0047612,0.0038067,0.7995303,17.9950092,18.0085696
16.2000000,2.0000000,0.0752805,0.0043800,0.0031016,0.7081174,18.0384017,18.0411137
16.3000000,4.0000000,0.0996105,0.0049543,0.0028213,0.5694749,18.0628092,18.0736569
16.4000000,3.5000000,0.3136184,0.0047309,0.0022467,0.4749027,18.0926399,18.0980636
16.5000000,5.5000000,0.1829003,0.0044915,0.0017820,0.3967487,18.0926399,18.0845044
16.6000000,4.0000000,0.1491254,0.0033121,0.0012742,0.3847071,18.0817925,18.0845044
16.7000000,7.0000000,0.7829174,0.0047750,0.0017475,0.3659595,18.0872162,18.0790806
16.8000000,5.0000000,0.0393123,0.0042109,0.0016133,0.3831133,18.0628092,18.0573854
16.9000000,5.0000000,0.1080797,0.0045714,0.0018040,0.3946327,18.0438257,18.0492496
17.0000000,5.0000000,0.9524654,0.0050128,0.0022497,0.4487894,18.0384017,18.0384017
17.1000000,3.5000000,0.1642182,0.0050131,0.0025700,0.5126624,18.0356897,18.0356897
17.2000000,4.0000000,0.7391721,0.0044445,0.0024641,0.5544291,18.0302658,18.0275538
17.3000000,3.5000000,0.3081352,0.0037314,0.0023306,0.6245923,18.0356897,18.0329778
17.4000000,3.0000000,0.1971913,0.0050112,0.0037252,0.7433710,18.0384017,18.0411137
